id,company,tweet
930,AssassinsCreed,😅 I love you guys. 😘
5048,GrandTheftAuto(GTA),It's about fricking time!
10011,PlayerUnknownsBattlegrounds(PUBG),"one of the best kpop moments was at Isac 2020 when all those kpop groups came together and just played a massive fuck off game of PUBG,, tell me that wasn’t iconic"
795,ApexLegends,mixer.com/SirDover357?ut… #Mixer #SmallStreamersConnect #ApexLegends #Ranked #Pathfinder
5041,GrandTheftAuto(GTA),@RockstarGames I’m a veteran of gta and have been for years  and  absolutely lov the game but you really really really need to sort your game out hard!!!!!
1961,CallOfDutyBlackopsColdWar,You mean real life crack epidemic?
6560,Fortnite,"Back at the OG memes... I love the sky base, follow me every day @Cyper for everyday content. #Fortnite #meme #MEMES #lmao #omg #gaming https://t.co/wROS35dZyA"
10406,RedDeadRedemption(RDR),Driving through New Mexico is like driving through Red Dead Redemption
2098,CallOfDuty,Sigh... you’re a god damn idiot
11808,Verizon,"@Verizon  I’m done with y’all, y’all charge too damn much for a cellphone. Plus your service sucks."
6619,Fortnite,"lets stop using good, popular songs for shitty fortnite montages please. it’s just a disgrace to the song."
10889,TomClancysGhostRecon,"Welp, #ghostreconbreakpoint 's immersive update got delayed until later next month... pic.twitter.com/rqk5e2fE10"
9135,Nvidia,"Congrats to the NVIDIA NeMo team for the 1.0.0 release candidate!
Really excited to see NeMo embracing Hydra as the way to take control over the configuration madness that is machine learning! :)"
9836,PlayStation5(PS5),Tempting 😖
6787,Fortnite,Dumb Lucky☘️   (Fortnite Montage) youtu.be/psWjTNkBQbE via @YouTube
2243,CallOfDuty,"Sound ON! Enjoy the groove and this little montage I made in tribute to the Desert Eagle, the most powerful, badass, secondary weapon. Ever. #CallofDuty #ModernWarfare #Xbox @JoeCecot @ArtPeasant @Drift0r https://t.co/WookTjkBmZ"
4895,GrandTheftAuto(GTA),I can't stand your ass OMG!
6187,FIFA,FIFA 20 is honestly the biggest pile of shit excuse for a game ever created. The game is played at 2 miles an hour. Slow clap for EA.
2430,Borderlands,Platinum is the best loot @Borderlands #PS4share pic.twitter.com/oxBbrsPbV2
2713,Borderlands,"Stream on Borderlands 3 tonight at 8pm! 
Come and say hi, it's always a pleasure to see on on the stream guys ☺️"
2870,Dota2,"my friends are playing dota 2 and i can't understand shit, but it's entertaining as hell"
6687,Fortnite,Un-popular opinion Fortnite is kind of the best game i've ever played. I'ts almost like it was thought up by a person who lives alone.
13039,Xbox(Xseries),"Damn! Microsoft is going all out in showing off the new Xbox Series X while Sony hasn't made a peep theverge.com/2020/3/16/2115…

As a PlayStation guy, this thing sounds like a screamer."
11378,TomClancysRainbowSix,MELUSI 4k are you shocked! @Justhoneybadger @simmyster06 @walkerpool @Mdassassin007 @OWahid65 #Rainbowsixsiege pic.twitter.com/0ACuQjtvGL
4440,Google,I can't believe that @realDonaldTrump lied.
11824,Verizon,"Man I just left the Verizon store to see if I can get my hands on the pre order of the RAZR V4. The employee let me hold the phone and flip it up and now I’m never washing my hands again, I can’t wait til the 15th of February to get it. 🥺🥺💕"
2131,CallOfDuty,"The new @CallofDuty for ps5 is 🔥🔥🔥🔥
Oh God 😭😍"
11894,Verizon,"Congratulations to our client, Diego Scotti, CMO of @Verizon, on being named an @Adweek Brand Genius. pic.twitter.com/kilCPassn6"
13097,Xbox(Xseries),"YOOOOOOO The PS5 design looks so slick, it makes the Xbox Series X look like a boring PC Box. #PS5Reveal"
8069,Microsoft,Bought a fraction of Microsoft today. Small wins.
8800,NBA2K,@NBA2K @2KSupport @LD2K @Beluba  can y’all please fix this !!! pic.twitter.com/yTZ3HA6Xtf
10080,PlayerUnknownsBattlegrounds(PUBG),Failed pubg mobile youtu.be/Qz00Pth41sw via @YouTube
645,ApexLegends,"Alright, let’s do it. The road to Gold 2 is now. Apex ranked. Come hang. - twitch.tv/cpatran #gaming #streaming #twitch #TwitchAffilate #TwitchStreamers #twitchstreamer #apexlegends"
6086,FIFA,Amazing how toxic the FIFA community is in August.  Congrats @EASPORTSFIFA for creating one of the most toxic communities....right up there with CSGO and RB6.
3645,Cyberpunk2077,"Good morning! It was so hot and gross last night I ended up pulling an all nighter go me!

On the plus, made some good progress on my Vindicator from #Cyberpunk2077 silver linings n all :) pic.twitter.com/1wcndhILCo"
10121,PlayerUnknownsBattlegrounds(PUBG),Yo the new event on PUBG is weird!
10188,PlayerUnknownsBattlegrounds(PUBG),Congratulations guys finally PUBG UNBAN ho gye thnks @ZakaWaqar  thnks all pubg lover 🌹♥️😍
2008,CallOfDuty,"It was ab fab seeing the 6 bungalows built in #walsden by @localitynews member @CVCLT1 with support from @Calderdale & many others. Highlights are seeing @dawsonjohn & family, and Andrew Bibby and his spade! Trustees going beyond the call of duty @CommLedHousing (brand colours!) pic.twitter.com/xKQnayVdHk"
6339,FIFA,Damn
2533,Borderlands,"Wine drunk playing the new Borderlands 😩

Goddess life is a fun life.

✨ findom"
7259,LeagueOfLegends,"I'm excited to announce our partnership with @VolvicDE. The cooperation with Volvic is an exclamation mark in German esport. At the same time, it's an award for our success in @LeagueOfLegends and the tremendous efforts of our team and staff behind the scenes. Thank you! pic.twitter.com/c6eLixSdZK"
10054,PlayerUnknownsBattlegrounds(PUBG),India Bans 118 Chinese apps including PUBG #PUBG #PUBGMOBILE pic.twitter.com/4RT8ykyxM3
