id,company,tweet
40.0,2.0,486.0
196.0,14.0,228.0
388.0,24.0,462.0
32.0,1.0,458.0
195.0,14.0,59.0
71.0,7.0,432.0
250.0,12.0,101.0
408.0,25.0,137.0
76.0,6.0,324.0
458.0,28.0,62.0
256.0,12.0,456.0
428.0,26.0,399.0
357.0,21.0,118.0
381.0,23.0,340.0
266.0,12.0,138.0
84.0,6.0,331.0
191.0,14.0,195.0
239.0,10.0,144.0
93.0,4.0,292.0
102.0,4.0,333.0
107.0,9.0,460.0
261.0,12.0,389.0
485.0,30.0,128.0
441.0,27.0,254.0
168.0,13.0,194.0
459.0,28.0,256.0
77.0,6.0,351.0
462.0,28.0,124.0
486.0,30.0,422.0
317.0,19.0,104.0
342.0,20.0,45.0
393.0,24.0,149.0
24.0,1.0,87.0
233.0,10.0,90.0
138.0,8.0,170.0
397.0,24.0,427.0
401.0,24.0,119.0
73.0,6.0,227.0
243.0,10.0,127.0
97.0,4.0,413.0
284.0,17.0,214.0
390.0,24.0,222.0
262.0,12.0,155.0
188.0,14.0,366.0
104.0,4.0,25.0
212.0,15.0,161.0
324.0,19.0,318.0
10.0,0.0,77.0
259.0,12.0,436.0
58.0,3.0,70.0
268.0,31.0,239.0
236.0,10.0,278.0
158.0,5.0,152.0
33.0,1.0,8.0
346.0,21.0,396.0
273.0,31.0,314.0
424.0,25.0,215.0
297.0,17.0,114.0
157.0,5.0,382.0
349.0,21.0,275.0
425.0,25.0,304.0
100.0,4.0,210.0
225.0,16.0,416.0
67.0,7.0,281.0
211.0,15.0,212.0
488.0,30.0,175.0
154.0,5.0,19.0
275.0,31.0,240.0
27.0,1.0,53.0
87.0,6.0,80.0
254.0,12.0,108.0
288.0,17.0,474.0
14.0,0.0,120.0
340.0,20.0,234.0
469.0,29.0,262.0
362.0,22.0,381.0
345.0,21.0,269.0
120.0,11.0,232.0
155.0,5.0,184.0
57.0,3.0,6.0
94.0,4.0,354.0
471.0,29.0,322.0
430.0,26.0,219.0
159.0,5.0,133.0
483.0,30.0,224.0
437.0,27.0,323.0
200.0,14.0,277.0
395.0,24.0,178.0
429.0,26.0,446.0
389.0,24.0,485.0
92.0,4.0,24.0
361.0,22.0,236.0
472.0,29.0,168.0
413.0,25.0,311.0
106.0,9.0,435.0
416.0,25.0,306.0
407.0,24.0,22.0
402.0,24.0,58.0
379.0,23.0,392.0
51.0,3.0,74.0
139.0,8.0,167.0
307.0,18.0,29.0
144.0,8.0,442.0
116.0,9.0,192.0
436.0,26.0,163.0
187.0,14.0,478.0
12.0,0.0,4.0
149.0,8.0,82.0
339.0,20.0,47.0
109.0,9.0,75.0
295.0,17.0,247.0
270.0,31.0,414.0
42.0,2.0,216.0
255.0,12.0,156.0
184.0,13.0,71.0
173.0,13.0,172.0
461.0,28.0,361.0
4.0,0.0,363.0
181.0,13.0,457.0
252.0,12.0,377.0
224.0,16.0,405.0
133.0,11.0,147.0
384.0,23.0,243.0
141.0,8.0,174.0
98.0,4.0,362.0
443.0,27.0,415.0
72.0,7.0,273.0
170.0,13.0,455.0
464.0,28.0,143.0
289.0,17.0,265.0
249.0,12.0,315.0
128.0,11.0,221.0
392.0,24.0,141.0
101.0,4.0,266.0
325.0,19.0,69.0
292.0,17.0,113.0
83.0,6.0,217.0
300.0,17.0,368.0
74.0,6.0,437.0
283.0,17.0,218.0
26.0,1.0,81.0
454.0,28.0,391.0
39.0,2.0,211.0
306.0,18.0,30.0
274.0,31.0,91.0
477.0,29.0,417.0
90.0,6.0,110.0
241.0,10.0,410.0
55.0,3.0,28.0
301.0,17.0,473.0
113.0,9.0,23.0
6.0,0.0,13.0
207.0,15.0,209.0
373.0,22.0,285.0
136.0,8.0,295.0
19.0,1.0,388.0
180.0,13.0,66.0
129.0,11.0,470.0
302.0,18.0,32.0
13.0,0.0,431.0
453.0,28.0,225.0
391.0,24.0,264.0
167.0,13.0,249.0
183.0,13.0,300.0
20.0,1.0,448.0
279.0,31.0,433.0
190.0,14.0,313.0
21.0,1.0,116.0
484.0,30.0,367.0
8.0,0.0,130.0
204.0,15.0,386.0
414.0,25.0,291.0
269.0,31.0,72.0
403.0,24.0,477.0
81.0,6.0,160.0
172.0,13.0,37.0
162.0,5.0,472.0
234.0,10.0,325.0
52.0,3.0,73.0
131.0,11.0,326.0
9.0,0.0,204.0
165.0,5.0,122.0
291.0,17.0,115.0
59.0,3.0,303.0
418.0,25.0,302.0
140.0,8.0,142.0
118.0,9.0,355.0
110.0,9.0,453.0
242.0,10.0,176.0
176.0,13.0,398.0
315.0,18.0,425.0
240.0,10.0,294.0
316.0,19.0,459.0
327.0,19.0,205.0
217.0,15.0,346.0
367.0,22.0,359.0
189.0,14.0,251.0
387.0,24.0,189.0
276.0,31.0,107.0
420.0,25.0,309.0
31.0,1.0,482.0
423.0,25.0,345.0
65.0,7.0,203.0
178.0,13.0,229.0
463.0,28.0,279.0
267.0,12.0,185.0
222.0,16.0,40.0
45.0,2.0,353.0
396.0,24.0,51.0
194.0,14.0,373.0
248.0,12.0,223.0
370.0,22.0,466.0
465.0,29.0,475.0
148.0,8.0,375.0
237.0,10.0,481.0
290.0,17.0,105.0
53.0,3.0,153.0
25.0,1.0,179.0
127.0,11.0,393.0
135.0,8.0,11.0
412.0,25.0,305.0
231.0,10.0,154.0
439.0,27.0,78.0
29.0,1.0,52.0
218.0,15.0,337.0
452.0,27.0,181.0
64.0,7.0,146.0
456.0,28.0,350.0
66.0,7.0,92.0
44.0,2.0,96.0
426.0,25.0,2.0
376.0,23.0,86.0
479.0,30.0,64.0
457.0,28.0,33.0
150.0,8.0,430.0
321.0,19.0,7.0
182.0,13.0,44.0
164.0,5.0,109.0
160.0,5.0,230.0
177.0,13.0,408.0
372.0,22.0,134.0
394.0,24.0,177.0
197.0,14.0,454.0
185.0,14.0,173.0
409.0,25.0,307.0
287.0,17.0,43.0
333.0,20.0,419.0
0.0,0.0,252.0
478.0,30.0,301.0
445.0,27.0,61.0
319.0,19.0,406.0
475.0,29.0,328.0
124.0,11.0,403.0
323.0,19.0,5.0
419.0,25.0,213.0
166.0,5.0,112.0
329.0,20.0,48.0
285.0,17.0,364.0
334.0,20.0,15.0
293.0,17.0,246.0
142.0,8.0,158.0
201.0,14.0,260.0
383.0,23.0,199.0
105.0,4.0,121.0
330.0,20.0,426.0
151.0,5.0,18.0
95.0,4.0,193.0
263.0,12.0,365.0
68.0,7.0,440.0
347.0,21.0,320.0
344.0,21.0,89.0
203.0,15.0,237.0
143.0,8.0,334.0
280.0,31.0,238.0
378.0,23.0,235.0
78.0,6.0,245.0
251.0,12.0,200.0
427.0,26.0,34.0
103.0,4.0,471.0
337.0,20.0,49.0
434.0,26.0,35.0
369.0,22.0,233.0
34.0,2.0,242.0
227.0,16.0,60.0
272.0,31.0,480.0
48.0,2.0,434.0
216.0,15.0,207.0
38.0,2.0,191.0
137.0,8.0,0.0
326.0,19.0,376.0
37.0,2.0,447.0
440.0,27.0,56.0
286.0,17.0,125.0
265.0,12.0,159.0
359.0,22.0,268.0
91.0,4.0,282.0
228.0,16.0,65.0
411.0,25.0,263.0
304.0,18.0,332.0
278.0,31.0,241.0
310.0,18.0,283.0
480.0,30.0,12.0
174.0,13.0,409.0
431.0,26.0,370.0
232.0,10.0,348.0
46.0,2.0,452.0
69.0,7.0,316.0
36.0,2.0,280.0
126.0,11.0,206.0
122.0,11.0,418.0
56.0,3.0,344.0
358.0,21.0,349.0
363.0,22.0,267.0
277.0,31.0,126.0
209.0,15.0,187.0
206.0,15.0,296.0
114.0,9.0,298.0
112.0,9.0,135.0
444.0,27.0,83.0
282.0,17.0,42.0
41.0,2.0,140.0
312.0,18.0,253.0
7.0,0.0,50.0
152.0,5.0,467.0
455.0,28.0,387.0
230.0,10.0,150.0
119.0,11.0,411.0
134.0,11.0,390.0
213.0,15.0,428.0
130.0,11.0,123.0
18.0,1.0,356.0
368.0,22.0,208.0
482.0,30.0,257.0
377.0,23.0,259.0
219.0,16.0,136.0
161.0,5.0,483.0
199.0,14.0,289.0
108.0,9.0,444.0
132.0,11.0,284.0
229.0,10.0,336.0
356.0,21.0,255.0
314.0,18.0,271.0
238.0,10.0,102.0
171.0,13.0,372.0
43.0,2.0,469.0
405.0,24.0,95.0
60.0,3.0,190.0
415.0,25.0,151.0
62.0,7.0,244.0
253.0,12.0,20.0
210.0,15.0,93.0
446.0,27.0,421.0
331.0,20.0,46.0
448.0,27.0,57.0
258.0,12.0,157.0
447.0,27.0,385.0
257.0,12.0,85.0
281.0,31.0,103.0
220.0,16.0,443.0
305.0,18.0,31.0
299.0,17.0,445.0
50.0,3.0,26.0
298.0,17.0,429.0
247.0,10.0,341.0
476.0,29.0,276.0
260.0,12.0,68.0
451.0,27.0,402.0
398.0,24.0,188.0
375.0,23.0,360.0
442.0,27.0,165.0
338.0,20.0,55.0
351.0,21.0,139.0
343.0,21.0,182.0
271.0,31.0,358.0
186.0,14.0,248.0
385.0,23.0,148.0
175.0,13.0,261.0
353.0,21.0,441.0
294.0,17.0,327.0
466.0,29.0,465.0
147.0,8.0,164.0
169.0,13.0,374.0
30.0,1.0,394.0
2.0,0.0,290.0
79.0,6.0,38.0
111.0,9.0,401.0
450.0,27.0,270.0
350.0,21.0,14.0
400.0,24.0,288.0
322.0,19.0,16.0
3.0,0.0,197.0
438.0,27.0,329.0
86.0,6.0,378.0
433.0,26.0,250.0
156.0,5.0,438.0
332.0,20.0,468.0
221.0,16.0,343.0
386.0,23.0,330.0
404.0,24.0,132.0
355.0,21.0,371.0
89.0,6.0,88.0
432.0,26.0,404.0
435.0,26.0,36.0
470.0,29.0,202.0
311.0,18.0,439.0
1.0,0.0,183.0
226.0,16.0,39.0
163.0,5.0,450.0
202.0,15.0,198.0
341.0,20.0,274.0
417.0,25.0,464.0
336.0,20.0,220.0
146.0,8.0,424.0
16.0,0.0,3.0
309.0,18.0,299.0
15.0,0.0,479.0
145.0,8.0,129.0
125.0,11.0,106.0
245.0,10.0,317.0
382.0,23.0,463.0
487.0,30.0,487.0
335.0,20.0,100.0
467.0,29.0,79.0
23.0,1.0,412.0
244.0,10.0,380.0
192.0,14.0,357.0
380.0,23.0,169.0
22.0,1.0,226.0
28.0,1.0,395.0
215.0,15.0,339.0
365.0,22.0,384.0
153.0,5.0,418.0
193.0,14.0,17.0
421.0,25.0,352.0
235.0,10.0,335.0
205.0,15.0,476.0
179.0,13.0,171.0
35.0,2.0,484.0
473.0,29.0,63.0
214.0,15.0,423.0
406.0,24.0,287.0
5.0,0.0,1.0
352.0,21.0,94.0
115.0,9.0,451.0
123.0,11.0,84.0
223.0,16.0,67.0
481.0,30.0,258.0
63.0,7.0,131.0
117.0,9.0,338.0
474.0,29.0,297.0
296.0,17.0,400.0
360.0,22.0,231.0
449.0,27.0,272.0
47.0,2.0,97.0
82.0,6.0,54.0
364.0,22.0,41.0
99.0,4.0,321.0
328.0,20.0,21.0
49.0,3.0,27.0
198.0,14.0,186.0
460.0,28.0,319.0
80.0,6.0,407.0
371.0,22.0,461.0
70.0,7.0,196.0
374.0,23.0,166.0
468.0,29.0,201.0
318.0,19.0,383.0
246.0,10.0,397.0
